Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
"Tue, Oct 17, 2017",8:01 pm,Boston Celtics,99.0,Cleveland Cavaliers,102.0,Box Score,,20562.0,
"Tue, Oct 17, 2017",10:30 pm,Houston Rockets,122.0,Golden State Warriors,121.0,Box Score,,19596.0,
"Wed, Oct 18, 2017",7:30 pm,Milwaukee Bucks,108.0,Boston Celtics,100.0,Box Score,,18624.0,
"Wed, Oct 18, 2017",8:30 pm,Atlanta Hawks,117.0,Dallas Mavericks,111.0,Box Score,,19709.0,
"Wed, Oct 18, 2017",7:00 pm,Charlotte Hornets,90.0,Detroit Pistons,102.0,Box Score,,20491.0,
"Wed, Oct 18, 2017",7:00 pm,Brooklyn Nets,131.0,Indiana Pacers,140.0,Box Score,,15008.0,
"Wed, Oct 18, 2017",8:00 pm,New Orleans Pelicans,91.0,Memphis Grizzlies,103.0,Box Score,,17794.0,
"Wed, Oct 18, 2017",7:00 pm,Miami Heat,109.0,Orlando Magic,116.0,Box Score,,18846.0,
"Wed, Oct 18, 2017",10:00 pm,Portland Trail Blazers,124.0,Phoenix Suns,76.0,Box Score,,18055.0,
"Wed, Oct 18, 2017",10:00 pm,Houston Rockets,105.0,Sacramento Kings,100.0,Box Score,,17583.0,
"Wed, Oct 18, 2017",9:30 pm,Minnesota Timberwolves,99.0,San Antonio Spurs,107.0,Box Score,,18418.0,
"Wed, Oct 18, 2017",9:00 pm,Denver Nuggets,96.0,Utah Jazz,106.0,Box Score,,17588.0,
"Wed, Oct 18, 2017",7:00 pm,Philadelphia 76ers,115.0,Washington Wizards,120.0,Box Score,,20356.0,
"Thu, Oct 19, 2017",10:30 pm,Los Angeles Clippers,108.0,Los Angeles Lakers,92.0,Box Score,,18997.0,
"Thu, Oct 19, 2017",8:00 pm,New York Knicks,84.0,Oklahoma City Thunder,105.0,Box Score,,18203.0,
"Thu, Oct 19, 2017",7:30 pm,Chicago Bulls,100.0,Toronto Raptors,117.0,Box Score,,19800.0,
"Fri, Oct 20, 2017",7:30 pm,Orlando Magic,121.0,Brooklyn Nets,126.0,Box Score,,16144.0,
"Fri, Oct 20, 2017",7:00 pm,Atlanta Hawks,91.0,Charlotte Hornets,109.0,Box Score,,18417.0,
"Fri, Oct 20, 2017",8:30 pm,Sacramento Kings,93.0,Dallas Mavericks,88.0,Box Score,,19273.0,
"Fri, Oct 20, 2017",7:00 pm,Portland Trail Blazers,114.0,Indiana Pacers,96.0,Box Score,,15325.0,
"Fri, Oct 20, 2017",7:00 pm,Cleveland Cavaliers,116.0,Milwaukee Bucks,97.0,Box Score,,18717.0,
"Fri, Oct 20, 2017",8:00 pm,Utah Jazz,97.0,Minnesota Timberwolves,100.0,Box Score,,18978.0,
"Fri, Oct 20, 2017",9:30 pm,Golden State Warriors,128.0,New Orleans Pelicans,120.0,Box Score,,18171.0,
"Fri, Oct 20, 2017",7:00 pm,Boston Celtics,102.0,Philadelphia 76ers,92.0,Box Score,,20816.0,
